date_time,total_inbound,total_outbound
NULL,181031354368.0,748968673280.0
NULL,187352645632.0,771097493504.0
NULL,191014125568.0,778149953536.0
NULL,192440303616.0,786282184704.0
NULL,197769543680.0,809047425024.0
NULL,199376551936.0,825032114176.0
NULL,201844293632.0,837843943424.0
NULL,214628843520.0,887691411456.0
NULL,223095422976.0,909723435008.0
NULL,229127258112.0,930365112320.0
NULL,232714108928.0,959203704832.0
NULL,237830193152.0,978096619520.0
NULL,245889122304.0,1006244265984.0
NULL,260381360128.0,1077577908224.0
NULL,268947881984.0,1124259987456.0
NULL,275132317696.0,1146605142016.0
NULL,282831028224.0,1183253528576.0
NULL,284681502720.0,1195399315456.0
NULL,291539353600.0,1226839425024.0
NULL,309495005184.0,1297453154304.0
NULL,315632844800.0,1329917067264.0
NULL,316719595520.0,1339513110528.0
NULL,321636597760.0,1356653658112.0
NULL,321976860672.0,1351709884416.0
NULL,325733154816.0,1365212790784.0
NULL,330132750336.0,1389180223488.0
NULL,333313081344.0,1404647768064.0
NULL,332005605376.0,1399484448768.0
NULL,330949197824.0,1411637706752.0
NULL,332184125440.0,1394771886080.0
NULL,334022574080.0,1401261785088.0
NULL,340963557376.0,1421345554432.0
NULL,343822532608.0,1433151471616.0
NULL,343958880256.0,1430516662272.0
NULL,342736863232.0,1427216662528.0
NULL,348304179200.0,1441976418304.0
NULL,348937060352.0,1452378030080.0
NULL,351945359360.0,1462070411264.0
NULL,353576910848.0,1467125334016.0
NULL,355182313472.0,1477008424960.0
NULL,354711404544.0,1471501697024.0
NULL,349396566016.0,1446938542080.0
NULL,345810763776.0,1435023179776.0
NULL,352314785792.0,1447755120640.0
NULL,349024124928.0,1432125308928.0
NULL,348565045248.0,1428755447808.0
NULL,348367749120.0,1420502368256.0
NULL,348313190400.0,1413775097856.0
NULL,346251264000.0,1403863564288.0
NULL,342835658752.0,1391588540416.0
NULL,341498494976.0,1386698506240.0
NULL,338197250048.0,1375452659712.0
NULL,334284816384.0,1352760164352.0
NULL,333250428928.0,1342456463360.0
NULL,331733794816.0,1325344227328.0
NULL,334232780800.0,1342115676160.0
NULL,331509071872.0,1331540000768.0
NULL,333539344384.0,1334375350272.0
NULL,334608203776.0,1336737136640.0
NULL,334323679232.0,1335690264576.0
NULL,332125241344.0,1333687484416.0
NULL,335907028992.0,1355727110144.0
NULL,340094976000.0,1367044784128.0
NULL,342008856576.0,1371324416000.0
NULL,343690543104.0,1380184358912.0
NULL,342541991936.0,1390116601856.0
NULL,342692855808.0,1403060617216.0
NULL,349990354944.0,1429122842624.0
NULL,355522510848.0,1456935534592.0
NULL,357082267648.0,1471722160128.0
NULL,358101483520.0,1465075892224.0
NULL,361376120832.0,1468269854720.0
NULL,358817398784.0,1470287577088.0
NULL,364839731200.0,1489610473472.0
NULL,361981542400.0,1494426583040.0
NULL,362563141632.0,1494420160512.0
NULL,363861377024.0,1486842494976.0
NULL,363915182080.0,1486320041984.0
NULL,358662438912.0,1480090058752.0
NULL,361932390400.0,1499098906624.0
NULL,362030661632.0,1499047264256.0
NULL,360684126208.0,1493864546304.0
NULL,361378152448.0,1482804428800.0
NULL,362774659072.0,1470490607616.0
NULL,360935456768.0,1461574041600.0
NULL,360349696000.0,1457601511424.0
NULL,361573744640.0,1450957733888.0
NULL,355724230656.0,1440570277888.0
NULL,358367657984.0,1439117606912.0
NULL,357215862784.0,1431673372672.0
NULL,354449555456.0,1412887740416.0
NULL,356387651584.0,1412950917120.0
NULL,357467783168.0,1422207746048.0
NULL,356771495936.0,1412195811328.0
NULL,352417382400.0,1404073279488.0
NULL,355488071680.0,1398296150016.0
NULL,350250205184.0,1379456647168.0
NULL,349658480640.0,1368459837440.0
NULL,348085157888.0,1367854153728.0
NULL,346401374208.0,1352053030912.0
NULL,346126909440.0,1352567357440.0
NULL,342903881728.0,1342041096192.0
NULL,340729167872.0,1329898717184.0
NULL,345385074688.0,1340156542976.0
NULL,343733305344.0,1318463733760.0
NULL,342006759424.0,1309256581120.0
NULL,340955594752.0,1300873216000.0
NULL,338270027776.0,1291907629056.0
NULL,340620509184.0,1295306326016.0
NULL,341408874496.0,1285676335104.0
NULL,337989468160.0,1280065011712.0
NULL,337946017792.0,1272451956736.0
NULL,337512497152.0,1259253399552.0
NULL,337709694976.0,1249500332032.0
NULL,335580594176.0,1233976819712.0
NULL,338024300544.0,1241428656128.0
NULL,338284642304.0,1233550966784.0
NULL,336887218176.0,1225199190016.0
NULL,338150621184.0,1229883310080.0
NULL,338084954112.0,1228352126976.0
NULL,336072409088.0,1220545740800.0
NULL,334423621632.0,1216160989184.0
NULL,337124720640.0,1222747226112.0
NULL,332747145216.0,1212969517056.0
NULL,335990161408.0,1220648501248.0
NULL,334746910720.0,1218365489152.0
NULL,337197367296.0,1213289463808.0
NULL,341068644352.0,1248740900864.0
NULL,345902907392.0,1254209880064.0
NULL,345701941248.0,1249781743616.0
NULL,346136412160.0,1247724568576.0
NULL,344526585856.0,1252829298688.0
NULL,343803625472.0,1265086103552.0
NULL,347549368320.0,1276278603776.0
NULL,345403785216.0,1278311792640.0
NULL,350534041600.0,1322028236800.0
NULL,352019546112.0,1351180877824.0
NULL,354862465024.0,1345537572864.0
NULL,354591768576.0,1353305948160.0
NULL,362640408576.0,1377339965440.0
NULL,369739792384.0,1420476809216.0
NULL,370928844800.0,1432883036160.0
NULL,378896777216.0,1458067079168.0
NULL,379780333568.0,1458220302336.0
NULL,382765957120.0,1480226504704.0
NULL,388364926976.0,1511173652480.0
NULL,397116178432.0,1534310088704.0
NULL,397908869120.0,1549702135808.0
NULL,398002323456.0,1584206839808.0
NULL,401116463104.0,1613771702272.0
NULL,404110409728.0,1631754911744.0
NULL,409811550208.0,1655405281280.0
NULL,416894517248.0,1693118365696.0
NULL,417721188352.0,1703705182208.0
NULL,422470549504.0,1738585669632.0
NULL,422801113088.0,1771327979520.0
NULL,425927507968.0,1816348459008.0
NULL,432010067968.0,1833349283840.0
NULL,434980782080.0,1846637232128.0
NULL,432520593408.0,1841889411072.0
NULL,435155173376.0,1857876656128.0
NULL,433503174656.0,1865396387840.0
NULL,435882196992.0,1873864556544.0
NULL,435001688064.0,1919093178368.0
NULL,431622717440.0,1909400928256.0
NULL,429523206144.0,1874054742016.0
NULL,418113683456.0,1883982135296.0
NULL,423888781312.0,1916563226624.0
